"customer_id","age","gender","tenure","usage_frequency","support_calls","payment_delay","subscription_type","contract_length","total_spend","last_interaction","churn","churn_status","age_group","tenure_band","spend_tier","usage_band","support_calls_band","payment_delay_band","last_interaction_band","risk_label"
12,56,"Male",13,23,5,14,"Basic","Quarterly",187,1,0,"Retained","56-65","Growing (13-24m)","Low (100-299)","High (19-24)","Medium (3-5)","Moderately Late (8-15d)","Recent (1-7d)","Medium"
13,31,"Male",2,7,0,25,"Premium","Quarterly",758,24,0,"Retained","26-35","Early (1-12m)","Mid-High (700-899)","Low (7-12)","No Calls","Severely Late (23-30d)","Neglected (22-30d)","Medium"
14,42,"Male",46,27,5,8,"Premium","Quarterly",438,30,0,"Retained","36-45","Loyal (37-48m)","Mid-Low (300-499)","Very High (25-30)","Medium (3-5)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
15,59,"Male",21,17,2,14,"Premium","Quarterly",663,15,0,"Retained","56-65","Growing (13-24m)","Mid (500-699)","Moderate (13-18)","Low (1-2)","Moderately Late (8-15d)","Concerning (15-21d)","Low"
16,35,"Female",1,3,7,3,"Basic","Monthly",677,25,1,"Churned","26-35","Early (1-12m)","Mid (500-699)","Very Low (1-6)","High (6-8)","Slightly Late (1-7d)","Neglected (22-30d)","High"
17,29,"Male",54,3,6,2,"Basic","Monthly",636,22,0,"Retained","26-35","Champion (49-60m)","Mid (500-699)","Very Low (1-6)","High (6-8)","Slightly Late (1-7d)","Neglected (22-30d)","High"
18,45,"Male",9,30,4,25,"Basic","Annual",127,18,0,"Retained","36-45","Early (1-12m)","Low (100-299)","Very High (25-30)","Medium (3-5)","Severely Late (23-30d)","Concerning (15-21d)","High"
19,65,"Female",40,2,1,6,"Premium","Annual",396,21,0,"Retained","56-65","Loyal (37-48m)","Mid-Low (300-499)","Very Low (1-6)","Low (1-2)","Slightly Late (1-7d)","Concerning (15-21d)","Low"
20,62,"Male",39,19,2,15,"Premium","Quarterly",202,24,0,"Retained","56-65","Loyal (37-48m)","Low (100-299)","High (19-24)","Low (1-2)","Moderately Late (8-15d)","Neglected (22-30d)","Low"
21,48,"Male",28,7,1,21,"Premium","Monthly",925,13,0,"Retained","46-55","Established (25-36m)","High (900-1000)","Low (7-12)","Low (1-2)","Very Late (16-22d)","Mild Gap (8-14d)","Medium"
22,36,"Female",58,4,0,1,"Premium","Quarterly",463,26,0,"Retained","36-45","Champion (49-60m)","Mid-Low (300-499)","Very Low (1-6)","No Calls","Slightly Late (1-7d)","Neglected (22-30d)","Low"
23,55,"Male",50,28,0,17,"Standard","Quarterly",449,3,0,"Retained","46-55","Champion (49-60m)","Mid-Low (300-499)","Very High (25-30)","No Calls","Very Late (16-22d)","Recent (1-7d)","Medium"
24,36,"Female",54,20,4,1,"Basic","Monthly",373,25,0,"Retained","36-45","Champion (49-60m)","Mid-Low (300-499)","High (19-24)","Medium (3-5)","Slightly Late (1-7d)","Neglected (22-30d)","Low"
25,64,"Male",59,7,5,9,"Basic","Annual",460,12,0,"Retained","56-65","Champion (49-60m)","Mid-Low (300-499)","Low (7-12)","Medium (3-5)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
26,65,"Female",58,7,3,30,"Premium","Annual",166,1,1,"Churned","56-65","Champion (49-60m)","Low (100-299)","Low (7-12)","Medium (3-5)","Severely Late (23-30d)","Recent (1-7d)","High"
27,53,"Female",58,18,8,4,"Basic","Quarterly",615,4,0,"Retained","46-55","Champion (49-60m)","Mid (500-699)","Moderate (13-18)","High (6-8)","Slightly Late (1-7d)","Recent (1-7d)","Medium"
28,41,"Female",60,7,7,0,"Premium","Annual",696,20,0,"Retained","36-45","Champion (49-60m)","Mid (500-699)","Low (7-12)","High (6-8)","On Time","Concerning (15-21d)","Medium"
29,25,"Female",41,11,5,11,"Premium","Annual",678,30,0,"Retained","18-25","Loyal (37-48m)","Mid (500-699)","Low (7-12)","Medium (3-5)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
30,44,"Female",44,7,8,16,"Basic","Quarterly",792,27,1,"Churned","36-45","Loyal (37-48m)","Mid-High (700-899)","Low (7-12)","High (6-8)","Very Late (16-22d)","Neglected (22-30d)","High"
31,28,"Female",23,8,8,0,"Basic","Annual",812,3,0,"Retained","26-35","Growing (13-24m)","Mid-High (700-899)","Low (7-12)","High (6-8)","On Time","Recent (1-7d)","Medium"
32,34,"Male",26,3,0,2,"Basic","Annual",156,15,0,"Retained","26-35","Established (25-36m)","Low (100-299)","Very Low (1-6)","No Calls","Slightly Late (1-7d)","Concerning (15-21d)","Low"
33,24,"Male",1,7,0,3,"Standard","Annual",611,4,0,"Retained","18-25","Early (1-12m)","Mid (500-699)","Low (7-12)","No Calls","Slightly Late (1-7d)","Recent (1-7d)","Low"
34,27,"Female",41,8,1,7,"Premium","Monthly",943,12,0,"Retained","26-35","Loyal (37-48m)","High (900-1000)","Low (7-12)","Low (1-2)","Slightly Late (1-7d)","Mild Gap (8-14d)","Low"
35,31,"Female",31,6,2,29,"Standard","Quarterly",329,6,1,"Churned","26-35","Established (25-36m)","Mid-Low (300-499)","Very Low (1-6)","Low (1-2)","Severely Late (23-30d)","Recent (1-7d)","Medium"
36,46,"Male",30,10,4,16,"Standard","Monthly",493,1,0,"Retained","46-55","Established (25-36m)","Mid-Low (300-499)","Low (7-12)","Medium (3-5)","Very Late (16-22d)","Recent (1-7d)","High"
37,59,"Male",44,17,3,2,"Basic","Quarterly",636,30,0,"Retained","56-65","Loyal (37-48m)","Mid (500-699)","Moderate (13-18)","Medium (3-5)","Slightly Late (1-7d)","Neglected (22-30d)","Low"
38,56,"Female",27,15,8,24,"Standard","Monthly",384,6,1,"Churned","56-65","Established (25-36m)","Mid-Low (300-499)","Moderate (13-18)","High (6-8)","Severely Late (23-30d)","Recent (1-7d)","Critical"
39,27,"Female",44,21,3,22,"Premium","Annual",515,1,0,"Retained","26-35","Loyal (37-48m)","Mid (500-699)","High (19-24)","Medium (3-5)","Very Late (16-22d)","Recent (1-7d)","High"
40,42,"Male",51,10,9,11,"Basic","Monthly",820,17,0,"Retained","36-45","Champion (49-60m)","Mid-High (700-899)","Low (7-12)","Critical (9-10)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
41,29,"Female",28,23,7,16,"Basic","Quarterly",1000,26,1,"Churned","26-35","Established (25-36m)","High (900-1000)","High (19-24)","High (6-8)","Very Late (16-22d)","Neglected (22-30d)","High"
42,36,"Male",45,24,5,2,"Premium","Quarterly",405,4,0,"Retained","36-45","Loyal (37-48m)","Mid-Low (300-499)","High (19-24)","Medium (3-5)","Slightly Late (1-7d)","Recent (1-7d)","Medium"
43,61,"Male",19,2,7,2,"Premium","Monthly",879,4,1,"Churned","56-65","Growing (13-24m)","Mid-High (700-899)","Very Low (1-6)","High (6-8)","Slightly Late (1-7d)","Recent (1-7d)","High"
44,57,"Male",2,26,5,14,"Premium","Monthly",771,4,0,"Retained","56-65","Early (1-12m)","Mid-High (700-899)","Very High (25-30)","Medium (3-5)","Moderately Late (8-15d)","Recent (1-7d)","Medium"
45,56,"Male",9,16,1,22,"Premium","Monthly",600,17,0,"Retained","56-65","Early (1-12m)","Mid (500-699)","Moderate (13-18)","Low (1-2)","Very Late (16-22d)","Concerning (15-21d)","Medium"
46,42,"Female",14,14,8,12,"Basic","Monthly",825,19,0,"Retained","36-45","Growing (13-24m)","Mid-High (700-899)","Moderate (13-18)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
47,36,"Female",24,21,8,29,"Basic","Monthly",231,8,1,"Churned","36-45","Growing (13-24m)","Low (100-299)","High (19-24)","High (6-8)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
48,37,"Male",13,26,2,26,"Basic","Quarterly",259,15,0,"Retained","36-45","Growing (13-24m)","Low (100-299)","Very High (25-30)","Low (1-2)","Severely Late (23-30d)","Concerning (15-21d)","Medium"
49,51,"Female",15,26,10,25,"Basic","Quarterly",244,1,1,"Churned","46-55","Growing (13-24m)","Low (100-299)","Very High (25-30)","Critical (9-10)","Severely Late (23-30d)","Recent (1-7d)","Critical"
50,57,"Female",46,30,2,21,"Standard","Annual",705,5,0,"Retained","56-65","Loyal (37-48m)","Mid-High (700-899)","Very High (25-30)","Low (1-2)","Very Late (16-22d)","Recent (1-7d)","Medium"
51,47,"Female",47,4,7,3,"Standard","Monthly",136,14,0,"Retained","46-55","Loyal (37-48m)","Low (100-299)","Very Low (1-6)","High (6-8)","Slightly Late (1-7d)","Mild Gap (8-14d)","High"
52,29,"Male",3,5,0,23,"Standard","Monthly",843,6,0,"Retained","26-35","Early (1-12m)","Mid-High (700-899)","Very Low (1-6)","No Calls","Severely Late (23-30d)","Recent (1-7d)","High"
53,45,"Female",17,4,5,23,"Standard","Annual",402,8,1,"Churned","36-45","Growing (13-24m)","Mid-Low (300-499)","Very Low (1-6)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
54,18,"Female",22,21,3,30,"Premium","Annual",919,3,0,"Retained","18-25","Growing (13-24m)","High (900-1000)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Recent (1-7d)","High"
55,27,"Male",57,4,10,20,"Premium","Annual",699,4,1,"Churned","26-35","Champion (49-60m)","Mid (500-699)","Very Low (1-6)","Critical (9-10)","Very Late (16-22d)","Recent (1-7d)","Critical"
56,23,"Male",34,20,3,26,"Basic","Annual",733,1,0,"Retained","18-25","Established (25-36m)","Mid-High (700-899)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Recent (1-7d)","High"
57,60,"Male",24,11,9,10,"Standard","Monthly",563,10,0,"Retained","56-65","Growing (13-24m)","Mid (500-699)","Low (7-12)","Critical (9-10)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
58,57,"Male",24,28,3,24,"Premium","Annual",448,12,0,"Retained","56-65","Growing (13-24m)","Mid-Low (300-499)","Very High (25-30)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","High"
59,28,"Female",29,3,2,21,"Premium","Quarterly",172,2,1,"Churned","26-35","Established (25-36m)","Low (100-299)","Very Low (1-6)","Low (1-2)","Very Late (16-22d)","Recent (1-7d)","High"
60,64,"Female",39,25,2,9,"Standard","Quarterly",933,9,0,"Retained","56-65","Loyal (37-48m)","High (900-1000)","Very High (25-30)","Low (1-2)","Moderately Late (8-15d)","Mild Gap (8-14d)","Low"
61,30,"Male",57,21,8,24,"Standard","Annual",576,6,1,"Churned","26-35","Champion (49-60m)","Mid (500-699)","High (19-24)","High (6-8)","Severely Late (23-30d)","Recent (1-7d)","Critical"
62,18,"Female",57,16,10,2,"Basic","Quarterly",657,26,0,"Retained","18-25","Champion (49-60m)","Mid (500-699)","Moderate (13-18)","Critical (9-10)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
63,24,"Male",13,25,9,27,"Premium","Quarterly",843,29,0,"Retained","18-25","Growing (13-24m)","Mid-High (700-899)","Very High (25-30)","Critical (9-10)","Severely Late (23-30d)","Neglected (22-30d)","Critical"
64,40,"Male",54,7,0,15,"Standard","Annual",731,27,0,"Retained","36-45","Champion (49-60m)","Mid-High (700-899)","Low (7-12)","No Calls","Moderately Late (8-15d)","Neglected (22-30d)","Low"
65,26,"Female",33,27,1,23,"Basic","Quarterly",665,5,0,"Retained","26-35","Established (25-36m)","Mid (500-699)","Very High (25-30)","Low (1-2)","Severely Late (23-30d)","Recent (1-7d)","Medium"
66,41,"Male",35,4,6,16,"Standard","Annual",546,26,1,"Churned","36-45","Established (25-36m)","Mid (500-699)","Very Low (1-6)","High (6-8)","Very Late (16-22d)","Neglected (22-30d)","Critical"
67,64,"Female",19,27,2,0,"Basic","Monthly",579,14,0,"Retained","56-65","Growing (13-24m)","Mid (500-699)","Very High (25-30)","Low (1-2)","On Time","Mild Gap (8-14d)","Low"
68,42,"Male",34,2,7,17,"Premium","Annual",757,25,1,"Churned","36-45","Established (25-36m)","Mid-High (700-899)","Very Low (1-6)","High (6-8)","Very Late (16-22d)","Neglected (22-30d)","Critical"
69,24,"Male",28,13,0,27,"Premium","Quarterly",515,27,0,"Retained","18-25","Established (25-36m)","Mid (500-699)","Moderate (13-18)","No Calls","Severely Late (23-30d)","Neglected (22-30d)","Medium"
70,52,"Female",56,8,9,21,"Premium","Annual",599,20,1,"Churned","46-55","Champion (49-60m)","Mid (500-699)","Low (7-12)","Critical (9-10)","Very Late (16-22d)","Concerning (15-21d)","Critical"
71,48,"Male",57,29,1,19,"Standard","Monthly",554,12,0,"Retained","46-55","Champion (49-60m)","Mid (500-699)","Very High (25-30)","Low (1-2)","Very Late (16-22d)","Mild Gap (8-14d)","Medium"
72,28,"Female",34,20,1,1,"Basic","Annual",986,19,0,"Retained","26-35","Established (25-36m)","High (900-1000)","High (19-24)","Low (1-2)","Slightly Late (1-7d)","Concerning (15-21d)","Low"
73,52,"Female",5,12,5,23,"Basic","Annual",844,12,0,"Retained","46-55","Early (1-12m)","Mid-High (700-899)","Low (7-12)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
74,52,"Female",37,26,5,29,"Standard","Annual",668,3,1,"Churned","46-55","Loyal (37-48m)","Mid (500-699)","Very High (25-30)","Medium (3-5)","Severely Late (23-30d)","Recent (1-7d)","Critical"
75,56,"Female",55,15,10,3,"Standard","Annual",867,26,0,"Retained","56-65","Champion (49-60m)","Mid-High (700-899)","Moderate (13-18)","Critical (9-10)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
76,64,"Male",48,9,7,26,"Premium","Annual",471,11,1,"Churned","56-65","Loyal (37-48m)","Mid-Low (300-499)","Low (7-12)","High (6-8)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
77,41,"Male",59,30,5,26,"Basic","Annual",628,11,1,"Churned","36-45","Champion (49-60m)","Mid (500-699)","Very High (25-30)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
78,48,"Female",47,12,0,29,"Basic","Monthly",761,8,1,"Churned","46-55","Loyal (37-48m)","Mid-High (700-899)","Low (7-12)","No Calls","Severely Late (23-30d)","Mild Gap (8-14d)","Medium"
79,22,"Male",39,10,3,29,"Standard","Monthly",599,13,0,"Retained","18-25","Loyal (37-48m)","Mid (500-699)","Low (7-12)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","High"
80,42,"Female",19,25,5,13,"Premium","Monthly",372,8,0,"Retained","36-45","Growing (13-24m)","Mid-Low (300-499)","Very High (25-30)","Medium (3-5)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
81,55,"Female",54,26,0,9,"Premium","Annual",213,13,0,"Retained","46-55","Champion (49-60m)","Low (100-299)","Very High (25-30)","No Calls","Moderately Late (8-15d)","Mild Gap (8-14d)","Low"
82,43,"Female",6,16,6,21,"Basic","Monthly",996,17,1,"Churned","36-45","Early (1-12m)","High (900-1000)","Moderate (13-18)","High (6-8)","Very Late (16-22d)","Concerning (15-21d)","Critical"
83,34,"Male",26,22,8,9,"Premium","Monthly",403,3,0,"Retained","26-35","Established (25-36m)","Mid-Low (300-499)","High (19-24)","High (6-8)","Moderately Late (8-15d)","Recent (1-7d)","Medium"
84,27,"Male",42,22,3,27,"Basic","Monthly",468,25,0,"Retained","26-35","Loyal (37-48m)","Mid-Low (300-499)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Neglected (22-30d)","High"
85,19,"Female",59,24,3,26,"Basic","Quarterly",368,8,1,"Churned","18-25","Champion (49-60m)","Mid-Low (300-499)","High (19-24)","Medium (3-5)","Severely Late (23-30d)","Mild Gap (8-14d)","High"
86,58,"Male",59,10,5,8,"Basic","Monthly",599,25,0,"Retained","56-65","Champion (49-60m)","Mid (500-699)","Low (7-12)","Medium (3-5)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
87,22,"Female",39,9,2,13,"Basic","Quarterly",759,1,0,"Retained","18-25","Loyal (37-48m)","Mid-High (700-899)","Low (7-12)","Low (1-2)","Moderately Late (8-15d)","Recent (1-7d)","Low"
88,22,"Male",25,10,10,17,"Premium","Monthly",966,7,1,"Churned","18-25","Established (25-36m)","High (900-1000)","Low (7-12)","Critical (9-10)","Very Late (16-22d)","Recent (1-7d)","High"
89,61,"Female",28,9,6,5,"Standard","Monthly",784,7,0,"Retained","56-65","Established (25-36m)","Mid-High (700-899)","Low (7-12)","High (6-8)","Slightly Late (1-7d)","Recent (1-7d)","Medium"
90,28,"Male",17,19,10,12,"Premium","Quarterly",332,24,0,"Retained","26-35","Growing (13-24m)","Mid-Low (300-499)","High (19-24)","Critical (9-10)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
91,33,"Male",36,18,0,24,"Premium","Annual",364,1,0,"Retained","26-35","Established (25-36m)","Mid-Low (300-499)","Moderate (13-18)","No Calls","Severely Late (23-30d)","Recent (1-7d)","Medium"
92,37,"Female",57,21,6,6,"Premium","Quarterly",209,29,0,"Retained","36-45","Champion (49-60m)","Low (100-299)","High (19-24)","High (6-8)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
93,65,"Female",6,21,1,2,"Premium","Quarterly",428,29,0,"Retained","56-65","Early (1-12m)","Mid-Low (300-499)","High (19-24)","Low (1-2)","Slightly Late (1-7d)","Neglected (22-30d)","Low"
94,22,"Male",51,27,9,23,"Standard","Annual",347,11,1,"Churned","18-25","Champion (49-60m)","Mid-Low (300-499)","Very High (25-30)","Critical (9-10)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
95,42,"Male",37,14,0,24,"Premium","Annual",418,13,0,"Retained","36-45","Loyal (37-48m)","Mid-Low (300-499)","Moderate (13-18)","No Calls","Severely Late (23-30d)","Mild Gap (8-14d)","Medium"
96,36,"Female",42,18,8,6,"Premium","Quarterly",322,10,0,"Retained","36-45","Loyal (37-48m)","Mid-Low (300-499)","Moderate (13-18)","High (6-8)","Slightly Late (1-7d)","Mild Gap (8-14d)","Medium"
97,20,"Male",32,7,5,14,"Basic","Annual",920,28,0,"Retained","18-25","Established (25-36m)","High (900-1000)","Low (7-12)","Medium (3-5)","Moderately Late (8-15d)","Neglected (22-30d)","Medium"
98,58,"Male",21,28,10,2,"Basic","Annual",894,28,0,"Retained","56-65","Growing (13-24m)","Mid-High (700-899)","Very High (25-30)","Critical (9-10)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
99,65,"Male",21,3,5,20,"Standard","Quarterly",570,1,1,"Churned","56-65","Growing (13-24m)","Mid (500-699)","Very Low (1-6)","Medium (3-5)","Very Late (16-22d)","Recent (1-7d)","Critical"
100,40,"Male",6,26,10,0,"Basic","Annual",632,5,0,"Retained","36-45","Early (1-12m)","Mid (500-699)","Very High (25-30)","Critical (9-10)","On Time","Recent (1-7d)","Medium"
101,52,"Female",45,20,6,28,"Standard","Monthly",442,10,1,"Churned","46-55","Loyal (37-48m)","Mid-Low (300-499)","High (19-24)","High (6-8)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
102,35,"Male",47,23,4,8,"Standard","Annual",969,7,0,"Retained","26-35","Loyal (37-48m)","High (900-1000)","High (19-24)","Medium (3-5)","Moderately Late (8-15d)","Recent (1-7d)","Low"
103,62,"Female",16,13,9,15,"Standard","Quarterly",719,19,0,"Retained","56-65","Growing (13-24m)","Mid-High (700-899)","Moderate (13-18)","Critical (9-10)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
104,41,"Male",20,27,4,13,"Basic","Monthly",941,18,0,"Retained","36-45","Growing (13-24m)","High (900-1000)","Very High (25-30)","Medium (3-5)","Moderately Late (8-15d)","Concerning (15-21d)","Low"
105,36,"Male",10,22,9,0,"Standard","Quarterly",218,7,0,"Retained","36-45","Early (1-12m)","Low (100-299)","High (19-24)","Critical (9-10)","On Time","Recent (1-7d)","Medium"
106,39,"Male",59,29,5,7,"Basic","Annual",225,27,0,"Retained","36-45","Champion (49-60m)","Low (100-299)","Very High (25-30)","Medium (3-5)","Slightly Late (1-7d)","Neglected (22-30d)","Medium"
107,62,"Male",10,9,1,18,"Standard","Quarterly",345,27,0,"Retained","56-65","Early (1-12m)","Mid-Low (300-499)","Low (7-12)","Low (1-2)","Very Late (16-22d)","Neglected (22-30d)","Medium"
108,55,"Male",22,15,1,19,"Standard","Quarterly",769,30,0,"Retained","46-55","Growing (13-24m)","Mid-High (700-899)","Moderate (13-18)","Low (1-2)","Very Late (16-22d)","Neglected (22-30d)","Medium"
109,44,"Female",54,20,1,9,"Basic","Quarterly",717,9,0,"Retained","36-45","Champion (49-60m)","Mid-High (700-899)","High (19-24)","Low (1-2)","Moderately Late (8-15d)","Mild Gap (8-14d)","Low"
110,39,"Female",7,30,3,5,"Basic","Monthly",199,13,0,"Retained","36-45","Early (1-12m)","Low (100-299)","Very High (25-30)","Medium (3-5)","Slightly Late (1-7d)","Mild Gap (8-14d)","Low"
111,30,"Male",57,20,8,26,"Premium","Monthly",821,8,1,"Churned","26-35","Champion (49-60m)","Mid-High (700-899)","High (19-24)","High (6-8)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
112,41,"Male",8,11,9,24,"Premium","Monthly",900,14,0,"Retained","36-45","Early (1-12m)","High (900-1000)","Low (7-12)","Critical (9-10)","Severely Late (23-30d)","Mild Gap (8-14d)","Critical"
113,56,"Male",56,3,3,12,"Standard","Monthly",175,11,0,"Retained","56-65","Champion (49-60m)","Low (100-299)","Very Low (1-6)","Medium (3-5)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
114,24,"Male",10,3,8,13,"Basic","Annual",317,3,0,"Retained","18-25","Early (1-12m)","Mid-Low (300-499)","Very Low (1-6)","High (6-8)","Moderately Late (8-15d)","Recent (1-7d)","High"
115,28,"Female",43,30,7,5,"Basic","Monthly",600,11,0,"Retained","26-35","Loyal (37-48m)","Mid (500-699)","Very High (25-30)","High (6-8)","Slightly Late (1-7d)","Mild Gap (8-14d)","Medium"
116,46,"Female",43,10,0,10,"Basic","Quarterly",779,23,0,"Retained","46-55","Loyal (37-48m)","Mid-High (700-899)","Low (7-12)","No Calls","Moderately Late (8-15d)","Neglected (22-30d)","Low"
117,18,"Male",36,18,7,14,"Standard","Monthly",635,19,0,"Retained","18-25","Established (25-36m)","Mid (500-699)","Moderate (13-18)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
118,34,"Male",28,7,8,7,"Premium","Monthly",524,1,0,"Retained","26-35","Established (25-36m)","Mid (500-699)","Low (7-12)","High (6-8)","Slightly Late (1-7d)","Recent (1-7d)","Medium"
119,39,"Male",13,27,6,21,"Basic","Quarterly",382,16,0,"Retained","36-45","Growing (13-24m)","Mid-Low (300-499)","Very High (25-30)","High (6-8)","Very Late (16-22d)","Concerning (15-21d)","Critical"
120,32,"Female",3,12,8,8,"Basic","Quarterly",990,21,0,"Retained","26-35","Early (1-12m)","High (900-1000)","Low (7-12)","High (6-8)","Moderately Late (8-15d)","Concerning (15-21d)","Medium"
121,35,"Female",47,2,8,21,"Basic","Monthly",532,7,1,"Churned","26-35","Loyal (37-48m)","Mid (500-699)","Very Low (1-6)","High (6-8)","Very Late (16-22d)","Recent (1-7d)","Critical"
122,40,"Male",28,4,0,21,"Basic","Annual",377,7,0,"Retained","36-45","Established (25-36m)","Mid-Low (300-499)","Very Low (1-6)","No Calls","Very Late (16-22d)","Recent (1-7d)","High"
123,44,"Male",13,26,3,3,"Basic","Monthly",486,25,0,"Retained","36-45","Growing (13-24m)","Mid-Low (300-499)","Very High (25-30)","Medium (3-5)","Slightly Late (1-7d)","Neglected (22-30d)","Low"
124,52,"Female",50,10,2,26,"Basic","Quarterly",640,3,0,"Retained","46-55","Champion (49-60m)","Mid (500-699)","Low (7-12)","Low (1-2)","Severely Late (23-30d)","Recent (1-7d)","Medium"
125,40,"Female",35,15,6,20,"Basic","Annual",104,27,1,"Churned","36-45","Established (25-36m)","Low (100-299)","Moderate (13-18)","High (6-8)","Very Late (16-22d)","Neglected (22-30d)","High"
126,41,"Male",58,27,1,3,"Premium","Annual",392,3,0,"Retained","36-45","Champion (49-60m)","Mid-Low (300-499)","Very High (25-30)","Low (1-2)","Slightly Late (1-7d)","Recent (1-7d)","Low"
127,30,"Female",23,29,1,22,"Standard","Annual",255,24,1,"Churned","26-35","Growing (13-24m)","Low (100-299)","Very High (25-30)","Low (1-2)","Very Late (16-22d)","Neglected (22-30d)","Medium"
128,64,"Female",36,17,4,15,"Standard","Monthly",237,5,0,"Retained","56-65","Established (25-36m)","Low (100-299)","Moderate (13-18)","Medium (3-5)","Moderately Late (8-15d)","Recent (1-7d)","Low"
129,43,"Female",52,13,10,14,"Standard","Quarterly",555,11,0,"Retained","36-45","Champion (49-60m)","Mid (500-699)","Moderate (13-18)","Critical (9-10)","Moderately Late (8-15d)","Mild Gap (8-14d)","Medium"
130,31,"Female",36,23,2,5,"Premium","Annual",444,2,0,"Retained","26-35","Established (25-36m)","Mid-Low (300-499)","High (19-24)","Low (1-2)","Slightly Late (1-7d)","Recent (1-7d)","Low"
131,61,"Male",6,15,2,30,"Premium","Annual",630,18,0,"Retained","56-65","Early (1-12m)","Mid (500-699)","Moderate (13-18)","Low (1-2)","Severely Late (23-30d)","Concerning (15-21d)","Medium"
